Year	ID	Region	Subfunction	Total
2009	23	Northeast	Scientific development	1819948.39
2009	7	Northeast	Dissemination of culture	607792.68
2009	3	Northeast	Basic education	68503164.03
2009	1	Northeast	Adult education	1067115.58
2009	25	Northeast	Special education	2041282.77
2009	5	Northeast	Child education	8948007.97
2009	9	Northeast	Elementary school	284484.12
2009	13	Northeast	High school	1437600.00
2009	20	Northeast	Professionalizing education	336960191.51
2009	6	Northeast	College education	18576468.40
2009	15	Northeast	Human resource development	41618926.46
2009	17	Northeast	Information technology	2531468.60
2009	11	Northeast	Funds transfer for basic education	878655150.88
