Year	ID	Region	Subfunction	Total
2009	12	Midwest	General administration	737142894.00
2009	14	Midwest	Hospital and outpatient care	1595329.61
2009	23	Midwest	Scientific development	162073.14
2009	7	Midwest	Dissemination of culture	503969.40
2009	3	Midwest	Basic education	98589778.37
2009	25	Midwest	Special education	915527.12
2009	5	Midwest	Child education	7381878.54
2009	9	Midwest	Elementary school	2662693.30
2009	20	Midwest	Professionalizing education	231979224.54
2009	6	Midwest	College education	94603713.31
2009	15	Midwest	Human resource development	5459796.44
2009	17	Midwest	Information technology	956282.00
2009	11	Midwest	Funds transfer for basic education	401039667.78
