Year	ID	Region	Subfunction	Total
2009	12	Southeast	General administration	541195.81
2009	23	Southeast	Scientific development	31068981.34
2009	7	Southeast	Dissemination of culture	22201198.18
2009	3	Southeast	Basic education	15796145.70
2009	1	Southeast	Adult education	1495147.01
2009	25	Southeast	Special education	7258907.67
2009	5	Southeast	Child education	10137365.71
2009	9	Southeast	Elementary school	1004958.45
2009	20	Southeast	Professionalizing education	90893844.18
2009	6	Southeast	College education	160849198.31
2009	15	Southeast	Human resource development	24380659.54
2009	17	Southeast	Information technology	1768253.97
2009	11	Southeast	Funds transfer for basic education	306195300.47
