Year	ID	Region	Subfunction	Total
2011	12	Southeast	General administration	1118888.18
2011	2	Southeast	Basic assistance	76800000.00
2011	23	Southeast	Scientific development	1337712.11
2011	8	Southeast	Dissemination of scientific knowledge	4160649.00
2011	3	Southeast	Basic education	90891597.69
2011	1	Southeast	Adult education	115000.00
2011	25	Southeast	Special education	5671324.80
2011	5	Southeast	Child education	37368105.96
2011	9	Southeast	Elementary school	8004536.92
2011	13	Southeast	High school	5143211.42
2011	20	Southeast	Professionalizing education	292976668.04
2011	6	Southeast	College education	86686611.99
2011	15	Southeast	Human resource development	25588133.16
2011	17	Southeast	Information technology	543257.92
2011	11	Southeast	Funds transfer for basic education	289882978.45
