Year	ID	Region	Subfunction	Total
2010	12	Northeast	General administration	704563639.24
2010	4	Northeast	Child and teenager assistance	696045.88
2010	23	Northeast	Scientific development	2856776.81
2010	8	Northeast	Dissemination of scientific knowledge	268699.27
2010	16	Northeast	Individual and collective rights	2687039.65
2010	3	Northeast	Basic education	119943041.88
2010	1	Northeast	Adult education	2470572.23
2010	25	Northeast	Special education	1639692.45
2010	5	Northeast	Child education	6346239.03
2010	13	Northeast	High school	720000.00
2010	20	Northeast	Professionalizing education	171864186.34
2010	6	Northeast	College education	99508613.93
2010	15	Northeast	Human resource development	70200368.19
2010	17	Northeast	Information technology	2324242.75
2010	11	Northeast	Funds transfer for basic education	1363282448.71
